GMT_timestamp      , local_timestamp    , trial_file_version , link                                                 , calibration           , id  , age  , gender    , education                                 , handedness  , duration_s,      ,              ,          ,         ,      , 
2025-03-18_16:14:56, 2025-03-18_18:14:56, 2020-02-18_14:53:12, https://www.testable.org/experiment/3628/918641/start, 0.8                   , shsh, "26" , man       , Bachelor degree                           , right-handed, 789.161   ,      ,              ,          ,         ,      , 
                   ,                    ,                    ,                                                      ,                       ,     ,      ,           ,                                           ,             ,           ,      ,              ,          ,         ,      , 
rowNo              , type               , condition1         , trialNo                                              , stim1                 , key , ITI  , stimFormat, trialText                                 , keyboard    , ITI_ms    , ITI_f, ITI_fDuration, timestamp, response, RT   , correct
"14"               , test               , learn              , "1"                                                  , B1_Identical_Left     , "2" , "500", .jpg      , Which face did you just view?             , 1 2 3       , 500       , 30   , "16.67"      , 313291   , "2"     , 2083 , "1"
"15"               , test               , learn              , "2"                                                  , B2_Identical_Frontal  , "3" , "500", .jpg      , Which face did you just view?             , 1 2 3       , 500       , 28   , "17.86"      , 315989   , "3"     , 2198 , "1"
"16"               , test               , learn              , "3"                                                  , B3_Identical_Right    , "3" , "500", .jpg      , Which face did you just view?             , 1 2 3       , 500       , 29   , "17.24"      , 318861   , "3"     , 2405 , "1"
"21"               , test               , learn              , "4"                                                  , D1_Identical_Left     , "2" , "500", .jpg      , Which face did you just view?             , 1 2 3       , 500       , 30   , "16.67"      , 339308   , "2"     , 2119 , "1"
"22"               , test               , learn              , "5"                                                  , D2_Identical_Frontal  , "3" , "500", .jpg      , Which face did you just view?             , 1 2 3       , 500       , 30   , "16.67"      , 341805   , "3"     , 1998 , "1"
"23"               , test               , learn              , "6"                                                  , D3_Identical_Right    , "3" , "500", .jpg      , Which face did you just view?             , 1 2 3       , 500       , 30   , "16.66"      , 343979   , "3"     , 1690 , "1"
"28"               , test               , learn              , "7"                                                  , J_1_Iden_L            , "3" , "500", .jpg      , Which face did you just view?             , 1 2 3       , 500       , 28   , "17.86"      , 357895   , "3"     , 1888 , "1"
"29"               , test               , learn              , "8"                                                  , J_2_Iden_Front        , "3" , "500", .jpg      , Which face did you just view?             , 1 2 3       , 500       , 21   , "23.81"      , 360328   , "3"     , 2055 , "1"
"30"               , test               , learn              , "9"                                                  , J_3_Iden_R            , "1" , "500", .jpg      , Which face did you just view?             , 1 2 3       , 500       , 18   , "27.79"      , 362200   , "1"     , 1393 , "1"
"35"               , test               , learn              , "10"                                                 , M_1_Iden_L            , "2" , "500", .jpg      , Which face did you just view?             , 1 2 3       , 500       , 30   , "16.66"      , 376790   , "2"     , 2051 , "1"
"36"               , test               , learn              , "11"                                                 , M_2_Iden_Front        , "3" , "500", .jpg      , Which face did you just view?             , 1 2 3       , 500       , 30   , "16.67"      , 380552   , "1"     , 3258 , "0"
"37"               , test               , learn              , "12"                                                 , M_3_Iden_R            , "1" , "500", .jpg      , Which face did you just view?             , 1 2 3       , 500       , 29   , "17.26"      , 383148   , "1"     , 2108 , "1"
"42"               , test               , learn              , "13"                                                 , N_1_Iden_L            , "3" , "500", .jpg      , Which face did you just view?             , 1 2 3       , 500       , 29   , "17.22"      , 430765   , "3"     , 1395 , "1"
"43"               , test               , learn              , "14"                                                 , N_2_Iden_Front        , "1" , "500", .jpg      , Which face did you just view?             , 1 2 3       , 500       , 30   , "16.66"      , 432785   , "1"     , 1515 , "1"
"44"               , test               , learn              , "15"                                                 , N_3_Iden_R            , "3" , "500", .jpg      , Which face did you just view?             , 1 2 3       , 500       , 30   , "16.67"      , 435020   , "3"     , 1748 , "1"
"49"               , test               , learn              , "16"                                                 , Z_1_Iden_L            , "1" , "500", .jpg      , Which face did you just view?             , 1 2 3       , 500       , 30   , "16.66"      , 449657   , "1"     , 1654 , "1"
"50"               , test               , learn              , "17"                                                 , Z_2_Iden_Front        , "3" , "500", .jpg      , Which face did you just view?             , 1 2 3       , 500       , 30   , "16.66"      , 451474   , "3"     , 1321 , "1"
"51"               , test               , learn              , "18"                                                 , Z_3_Iden_R            , "1" , "500", .jpg      , Which face did you just view?             , 1 2 3       , 500       , 29   , "17.25"      , 453389   , "1"     , 1417 , "1"
"55"               , test               , no_noise           , "19"                                                 , M_5_Front_Halflit     , "1" , "500", .jpg      , Which face is one of the six target faces?, 1 2 3       , 500       , 30   , "16.65"      , 484865   , "1"     , 5462 , "1"
"56"               , test               , no_noise           , "20"                                                 , N_8_13_R_Pro_dark     , "2" , "500", .jpg      , Which face is one of the six target faces?, 1 2 3       , 500       , 30   , "16.65"      , 491390   , "2"     , 6038 , "1"
"57"               , test               , no_noise           , "21"                                                 , Z_6_23_Pro_L          , "1" , "500", .jpg      , Which face is one of the six target faces?, 1 2 3       , 500       , 29   , "17.23"      , 495906   , "1"     , 4020 , "1"
"58"               , test               , no_noise           , "22"                                                 , D5_Halflit_Frontal    , "3" , "500", .jpg      , Which face is one of the six target faces?, 1 2 3       , 500       , 30   , "16.66"      , 503707   , "1"     , 7303 , "0"
"59"               , test               , no_noise           , "23"                                                 , B7_Bottomlit_Frontal  , "3" , "500", .jpg      , Which face is one of the six target faces?, 1 2 3       , 500       , 30   , "16.67"      , 508423   , "1"     , 4220 , "0"
"60"               , test               , no_noise           , "24"                                                 , J_6_23_L_Pro          , "2" , "500", .jpg      , Which face is one of the six target faces?, 1 2 3       , 500       , 29   , "17.24"      , 513005   , "2"     , 4086 , "1"
"61"               , test               , no_noise           , "25"                                                 , D7_Bottomlit_Frontal  , "1" , "500", .jpg      , Which face is one of the six target faces?, 1 2 3       , 500       , 29   , "17.22"      , 517072   , "1"     , 3570 , "1"
"62"               , test               , no_noise           , "26"                                                 , Z_5_Front_Half        , "3" , "500", .jpg      , Which face is one of the six target faces?, 1 2 3       , 500       , 30   , "16.65"      , 526529   , "3"     , 8959 , "1"
"63"               , test               , no_noise           , "27"                                                 , M_6_23_L_Pro          , "2" , "500", .jpg      , Which face is one of the six target faces?, 1 2 3       , 500       , 28   , "17.85"      , 528448   , "2"     , 1428 , "1"
"64"               , test               , no_noise           , "28"                                                 , J_7_Bottom_Lit        , "3" , "500", .jpg      , Which face is one of the six target faces?, 1 2 3       , 500       , 30   , "16.66"      , 531904   , "3"     , 2970 , "1"
"65"               , test               , no_noise           , "29"                                                 , N_4_23_R_Pro          , "2" , "500", .jpg      , Which face is one of the six target faces?, 1 2 3       , 500       , 30   , "16.68"      , 536925   , "2"     , 4523 , "1"
"66"               , test               , no_noise           , "30"                                                 , M_8_13_R_Pro_dark     , "3" , "500", .jpg      , Which face is one of the six target faces?, 1 2 3       , 500       , 30   , "16.66"      , 539869   , "3"     , 2438 , "1"
"67"               , test               , no_noise           , "31"                                                 , J_5_Front_Halflit     , "2" , "500", .jpg      , Which face is one of the six target faces?, 1 2 3       , 500       , 29   , "17.24"      , 542436   , "2"     , 2068 , "1"
"68"               , test               , no_noise           , "32"                                                 , N_7_Front_Bot         , "1" , "500", .jpg      , Which face is one of the six target faces?, 1 2 3       , 500       , 28   , "17.86"      , 548323   , "1"     , 5388 , "1"
"69"               , test               , no_noise           , "33"                                                 , Z_4_23_Pro_R          , "2" , "500", .jpg      , Which face is one of the six target faces?, 1 2 3       , 500       , 30   , "16.66"      , 553459   , "2"     , 4640 , "1"
"70"               , test               , no_noise           , "34"                                                 , D8_13_Profile_R       , "2" , "500", .jpg      , Which face is one of the six target faces?, 1 2 3       , 500       , 28   , "17.87"      , 556335   , "3"     , 2382 , "0"
"71"               , test               , no_noise           , "35"                                                 , M_7_Front_Bot         , "2" , "500", .jpg      , Which face is one of the six target faces?, 1 2 3       , 500       , 30   , "16.66"      , 568525   , "2"     , 11689, "1"
"72"               , test               , no_noise           , "36"                                                 , B4_23_pro_ri          , "2" , "500", .jpg      , Which face is one of the six target faces?, 1 2 3       , 500       , 29   , "17.24"      , 576933   , "3"     , 7915 , "0"
"73"               , test               , no_noise           , "37"                                                 , D6_23_Profile_L       , "1" , "500", .jpg      , Which face is one of the six target faces?, 1 2 3       , 500       , 30   , "16.67"      , 582607   , "1"     , 5189 , "1"
"74"               , test               , no_noise           , "38"                                                 , N_5_Front_Half        , "3" , "500", .jpg      , Which face is one of the six target faces?, 1 2 3       , 500       , 30   , "16.67"      , 587604   , "3"     , 4503 , "1"
"75"               , test               , no_noise           , "39"                                                 , B6_23_pro_L           , "1" , "500", .jpg      , Which face is one of the six target faces?, 1 2 3       , 500       , 30   , "16.66"      , 595431   , "3"     , 7329 , "0"
"76"               , test               , no_noise           , "40"                                                 , Z_8_13_Pro_R_dark     , "2" , "500", .jpg      , Which face is one of the six target faces?, 1 2 3       , 500       , 28   , "17.85"      , 597774   , "2"     , 1856 , "1"
"77"               , test               , no_noise           , "41"                                                 , J_4_23_R_Pro          , "2" , "500", .jpg      , Which face is one of the six target faces?, 1 2 3       , 500       , 29   , "17.25"      , 599629   , "2"     , 1378 , "1"
"78"               , test               , no_noise           , "42"                                                 , B8_13_pro_R_HS        , "1" , "500", .jpg      , Which face is one of the six target faces?, 1 2 3       , 500       , 28   , "17.86"      , 603969   , "3"     , 3824 , "0"
"79"               , test               , no_noise           , "43"                                                 , M_4_23_R_Pro          , "3" , "500", .jpg      , Which face is one of the six target faces?, 1 2 3       , 500       , 29   , "17.24"      , 608773   , "2"     , 4307 , "0"
"80"               , test               , no_noise           , "44"                                                 , J_8_13_r_pro_dark     , "1" , "500", .jpg      , Which face is one of the six target faces?, 1 2 3       , 500       , 27   , "18.53"      , 612390   , "1"     , 3121 , "1"
"81"               , test               , no_noise           , "45"                                                 , Z_7_Front_Bot         , "2" , "500", .jpg      , Which face is one of the six target faces?, 1 2 3       , 500       , 30   , "16.66"      , 615706   , "2"     , 2822 , "1"
"82"               , test               , no_noise           , "46"                                                 , D4_23_profile_R       , "1" , "500", .jpg      , Which face is one of the six target faces?, 1 2 3       , 500       , 30   , "16.68"      , 625584   , "1"     , 9383 , "1"
"83"               , test               , no_noise           , "47"                                                 , N_6_23_L_Pro          , "1" , "500", .jpg      , Which face is one of the six target faces?, 1 2 3       , 500       , 30   , "16.67"      , 628775   , "1"     , 2691 , "1"
"84"               , test               , no_noise           , "48"                                                 , B5_halflit_frontal    , "3" , "500", .jpg      , Which face is one of the six target faces?, 1 2 3       , 500       , 30   , "16.68"      , 633684   , "1"     , 4416 , "0"
"86"               , test               , noise              , "49"                                                 , Z_12_Front_Noisy      , "2" , "500", .jpg      , Which face is one of the six target faces?, 1 2 3       , 500       , 30   , "16.67"      , 659691   , "2"     , 5009 , "1"
"87"               , test               , noise              , "50"                                                 , M_11_23_N_R_Pro       , "3" , "500", .jpg      , Which face is one of the six target faces?, 1 2 3       , 500       , 28   , "17.85"      , 663751   , "2"     , 3568 , "0"
"88"               , test               , noise              , "51"                                                 , D10_Noisy_13_Profile_L, "1" , "500", .jpg      , Which face is one of the six target faces?, 1 2 3       , 500       , 29   , "17.24"      , 668667   , "1"     , 4418 , "1"
"89"               , test               , noise              , "52"                                                 , J_12_Frontal_HS       , "1" , "500", .jpg      , Which face is one of the six target faces?, 1 2 3       , 501       , 29   , "17.26"      , 671155   , "1"     , 1989 , "1"
"90"               , test               , noise              , "53"                                                 , J_11_23_pro_R         , "3" , "500", .jpg      , Which face is one of the six target faces?, 1 2 3       , 500       , 30   , "16.67"      , 674356   , "3"     , 2706 , "1"
"91"               , test               , noise              , "54"                                                 , N_9_Front_LS          , "1" , "500", .jpg      , Which face is one of the six target faces?, 1 2 3       , 500       , 30   , "16.66"      , 678564   , "1"     , 3714 , "1"
"92"               , test               , noise              , "55"                                                 , B12_Noisy_frontal_HS  , "2" , "500", .jpg      , Which face is one of the six target faces?, 1 2 3       , 500       , 30   , "16.66"      , 681831   , "3"     , 2781 , "0"
"93"               , test               , noise              , "56"                                                 , M_12_Front_N_HS       , "1" , "500", .jpg      , Which face is one of the six target faces?, 1 2 3       , 500       , 28   , "17.86"      , 687079   , "3"     , 4763 , "0"
"94"               , test               , noise              , "57"                                                 , D12_Noisy_Frontal_HS  , "2" , "500", .jpg      , Which face is one of the six target faces?, 1 2 3       , 500       , 30   , "16.67"      , 690901   , "1"     , 3335 , "0"
"95"               , test               , noise              , "58"                                                 , Z_11_23_Pro_R         , "2" , "500", .jpg      , Which face is one of the six target faces?, 1 2 3       , 500       , 25   , "20.01"      , 694074   , "2"     , 2675 , "1"
"96"               , test               , noise              , "59"                                                 , N_10_13_L_Pro_dark    , "2" , "500", .jpg      , Which face is one of the six target faces?, 1 2 3       , 500       , 30   , "16.68"      , 698586   , "1"     , 4019 , "0"
"97"               , test               , noise              , "60"                                                 , B9_Noisy_frontal_LS   , "2" , "500", .jpg      , Which face is one of the six target faces?, 1 2 3       , 500       , 30   , "16.66"      , 701568   , "1"     , 2485 , "0"
"98"               , test               , noise              , "61"                                                 , M_9_Front_N_LS        , "1" , "500", .jpg      , Which face is one of the six target faces?, 1 2 3       , 500       , 28   , "17.85"      , 712531   , "1"     , 10466, "1"
"99"               , test               , noise              , "62"                                                 , J_9_N_Frontal_50      , "2" , "500", .jpg      , Which face is one of the six target faces?, 1 2 3       , 499       , 29   , "17.22"      , 715699   , "2"     , 2685 , "1"
"100"              , test               , noise              , "63"                                                 , N_12_Front_Noisy      , "1" , "500", .jpg      , Which face is one of the six target faces?, 1 2 3       , 500       , 30   , "16.68"      , 721426   , "3"     , 5227 , "0"
"101"              , test               , noise              , "64"                                                 , B10_Noisy_13_pro_L    , "2" , "500", .jpg      , Which face is one of the six target faces?, 1 2 3       , 500       , 29   , "17.23"      , 725078   , "3"     , 3164 , "0"
"102"              , test               , noise              , "65"                                                 , N_11_23_R_Pro         , "3" , "500", .jpg      , Which face is one of the six target faces?, 1 2 3       , 500       , 30   , "16.67"      , 731827   , "2"     , 6262 , "0"
"103"              , test               , noise              , "66"                                                 , J_10_13_pro_l         , "1" , "500", .jpg      , Which face is one of the six target faces?, 1 2 3       , 500       , 29   , "17.25"      , 734751   , "1"     , 2436 , "1"
"104"              , test               , noise              , "67"                                                 , Z_9_Front_Noisy       , "3" , "500", .jpg      , Which face is one of the six target faces?, 1 2 3       , 500       , 29   , "17.23"      , 740495   , "3"     , 5248 , "1"
"105"              , test               , noise              , "68"                                                 , D9_Noisy_Frontal_LS   , "1" , "500", .jpg      , Which face is one of the six target faces?, 1 2 3       , 500       , 30   , "16.67"      , 745039   , "1"     , 4057 , "1"
"106"              , test               , noise              , "69"                                                 , M_10_N_13_L_Pro_D     , "1" , "500", .jpg      , Which face is one of the six target faces?, 1 2 3       , 500       , 30   , "16.65"      , 749279   , "3"     , 3749 , "0"
"107"              , test               , noise              , "70"                                                 , Z_10_13_Pro_L         , "1" , "500", .jpg      , Which face is one of the six target faces?, 1 2 3       , 500       , 30   , "16.66"      , 759767   , "2"     , 10002, "0"
"108"              , test               , noise              , "71"                                                 , B11_Noise_23_pro_R    , "1" , "500", .jpg      , Which face is one of the six target faces?, 1 2 3       , 500       , 30   , "16.68"      , 780451   , "3"     , 20186, "0"
"109"              , test               , noise              , "72"                                                 , D11_Noisy_23_profile_R, "3" , "500", .jpg      , Which face is one of the six target faces?, 1 2 3       , 500       , 30   , "16.67"      , 785046   , "3"     , 4115 , "1"